Facies,Sample,Area,Comment,Mineral,Texture,Ta2O5,Nb2O5,SnO2,TiO2,Al2O3,FeO,MnO,CaO,MgO,Total_mol
PAPN,BU19TS(2),Ore3c,BU19TS(2)-ore3c.1,Rutile,core,1.1503580611430855,4.314182438928598,0.8877391941034636,87.13144387108103,0.26239834180195637,6.253487931000308,0.00039016194156241054,0.0,0.0,100.00000000000001
PAPN,BU19TS(2),Ore3c,BU19TS(2)-ore3c.2,Rutile,core,1.5274904007707388,5.100518868203674,1.140662771188451,84.21435460765376,0.2674531110779216,7.714807960141689,0.0347122809637631,0.0,0.0,100.0
PAPN,BU19TS(2),Ore3d,BU19TS(2)-ore3d.1,Rutile,rim,0.7998845029220949,2.8149891584709246,0.7249926072553946,89.90833498024729,0.4172042650542628,5.3235630290344425,0.011031457015595506,0.0,0.0,100.0
PAPN,BU19TS(2),Ore3d,BU19TS(2)-ore3d.2,Rutile,core,1.0775516393323632,3.5963262345439553,0.785479262184083,88.92986852265523,0.2669981510496773,5.332185467363356,0.011590722871370177,0.0,0.0,100.00000000000004
PAPN,BU19TS(2),Ore3d,BU19TS(2)-ore3d.3,Rutile,core,1.9315316086520498,4.658034509446115,0.906527482386208,84.96395053432823,0.28524513469447593,7.254710730492904,0.0,0.0,0.0,99.99999999999999
PAPN,BU19TS(2),Ore4,BU19TS(2)-Ore4.1,Rutile,core,0.968223682089061,3.759160917689683,1.0422755702427882,88.09621686210072,0.3199389783623254,5.779191752263087,0.03499223725231959,0.0,0.0,100.0
PAPN,BU19TS(2),Ore4,BU19TS(2)-Ore4.2,Rutile,core,1.9690662110183326,4.129816392957346,0.8762748870896602,82.69420324144939,1.5748370645553016,8.736771191984962,0.019031010945018863,0.0,0.0,99.99999999999999
PAPN,BU19TS(2),Ore4,BU19TS(2)-Ore4.3,Rutile,patchy,1.3249736538767949,3.9786069740234886,0.8256616781694162,86.91663994743301,0.2755425869099777,6.659488467761326,0.019086691825981467,0.0,0.0,99.99999999999999
PAPN,BU19TS(2),Ore4,BU19TS(2)-Ore4.4,Rutile,core,1.137687732943969,3.540719938414142,0.6976075752608141,87.69343441020786,0.46756835253874784,6.177860335250183,0.04239453014159962,0.0,0.24272712524267653,99.99999999999999
PAPN,BU19w,Ore2,BU19w-Rut2.1,Rutile,core,0.32008681842867953,1.911242141952817,0.7053761266839588,93.81490403350752,0.16901259878097535,3.075366827582681,0.004011453063401623,0.0,0.0,100.00000000000003
