Facies,Sample,Area,Comment,Mineral,Texture,Ta,Nb,Sn,Ti,Al,Fe,Mn,Ca,Mg,Sum
PAPN,BU19TS(2),Ore3d,BU19TS(2)-ore3d.2,Rutile,core,0.24754128807705997,0.82616850640765,0.09022238063659675,10.21473746551076,0.06133633304662865,0.6124699785500395,0.0013313433735300702,0.0,0.0,12.053807295602267
PAPN,BU19TS(2),Ore3d,BU19TS(2)-ore3d.3,Rutile,core,0.43568539234593073,1.0506882640275255,0.10224031024566911,9.582434985271181,0.06434123980547198,0.8182034083244514,0.0,0.0,0.0,12.05359360002023
PAPN,BU19TS(2),Ore4,BU19TS(2)-Ore4.1,Rutile,core,0.22269970986889562,0.8646390923982565,0.1198661380579389,10.131440853319525,0.07358869543792758,0.6646317118213798,0.004024256598920044,0.0,0.0,12.080890457502843
PAPN,BU19TS(2),Ore4,BU19TS(2)-Ore4.2,Rutile,core,0.4476937806417183,0.9389694993359493,0.09961646157131492,9.400821637981585,0.3580604630663201,0.9932114277453779,0.0021634786051717204,0.0,0.0,12.240536748947434
PAPN,BU19TS(2),Ore4,BU19TS(2)-Ore4.3,Rutile,patchy,0.3035627452337374,0.9115327325240301,0.0945830601710624,9.956671120114407,0.0631291526940628,0.7628727541906367,0.0021864618029091907,0.0,0.0,12.094538026730847
PAPN,BU19TS(2),Ore4,BU19TS(2)-Ore4.4,Rutile,core,0.26249308411266,0.8169328627711322,0.08047777901969529,10.116536984714243,0.10787974181085419,0.7126936353707517,0.004890740509954886,0.0,0.028001616725653825,12.129906445034946
PAPN,BU19w,Ore2,BU19w-Rut2.1,Rutile,core,0.0753945149966299,0.45018153212629053,0.08307354114519423,11.048766743635342,0.03980989587751767,0.3621920320564278,0.00047243675892623405,0.0,0.0,12.059890696596328
PAPN,BU19w,Ore2,BU19w-Rut2.2,Rutile,core,0.5879524104162356,0.4984113292854154,0.06094414749684652,10.169148779404484,0.05515361080531524,0.7411743807352389,0.0,0.0,0.0,12.112784658143536
PAPN,BU19w,Ore2,BU19w-Rut2.4 ,Rutile,core,0.048532129254259156,0.4238344831440826,0.06487389017948543,11.186769943052692,0.03870082986125173,0.2577445577479115,0.0,0.0,0.0,12.020455833239682
PAPN,BU19w,Ore2,BU19w-Rut2.5 ,Rutile,rim,0.5347840960471595,0.509964667486342,0.05810537725376317,10.25506585461578,0.039863042637072924,0.7012434537361568,0.0007476097353965115,0.0,0.0,12.09977410151167
PAPN,BU19w,Ore2,BU19w-Rut2.6 ,Rutile,core,0.3696527231990627,0.440939419206789,0.06188240274148527,10.611401752151648,0.045253313842808375,0.5590713634348902,0.0,0.0,0.0,12.088200974576685
PAPN,BU19w,Ore2,BU19w-Rut2.7 ,Rutile,core,0.17913443623872927,0.42457160205307676,0.07193560785226036,10.922996385585407,0.04251378399150306,0.4371002414079008,0.0,0.0,0.0,12.078252057128877
PAPN,BU19w,Ore2,BU19w-Rut2.8 ,Rutile,rim,0.5455217277665538,0.47239259718299814,0.062048382099590696,10.283594452377107,0.031964682163370596,0.715785152770774,0.0001963426568954808,0.0,0.0,12.111503337017291
PAPN,BU19w,Ore2b,BU19w-Rut2b.2 ,Rutile,core,0.06727430480737315,0.28528981997687597,0.0908036454460937,11.323370623173721,0.04977420239478261,0.21557984720757695,0.0,0.0,0.0,12.032092443006423
